epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.17509972212668404,0.3763722,0.17509975,0.09977392684600357,0.30212355,0.09977391
1,0.07045280474385349,0.2363408,0.07045279,0.035880430768581544,0.1604243,0.03588043
2,0.03010297898482829,0.13344692,0.030102974,0.0263604771588682,0.11434686,0.026360476
3,0.025893471907794775,0.10763665,0.025893468,0.025279780785954324,0.10175514,0.02527978
4,0.025411507093612614,0.1006747,0.025411507,0.025172289853827953,0.0979516,0.025172291
5,0.0253310722390063,0.09832992,0.025331073,0.025167059513297462,0.096478984,0.025167061
6,0.02531333449742445,0.097514115,0.025313333,0.025167289793401125,0.096823856,0.02516729
7,0.02530610871540812,0.09725284,0.02530611,0.025176858754202273,0.09797402,0.025176857
8,0.025296275048943526,0.097187065,0.025296276,0.025165568988127118,0.09674855,0.025165567
9,0.02528975596637349,0.09716773,0.025289757,0.025165718554851096,0.09670309,0.025165716
