epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.1729131288583936,0.36939037,0.17291313,0.09051640603918802,0.2866687,0.090516396
1,0.06672624457886968,0.22573179,0.066726245,0.033280999524000106,0.15059504,0.033281002
2,0.029424948621174413,0.12956074,0.02942495,0.02605719650468226,0.11140454,0.026057197
3,0.025831584607402668,0.106426895,0.025831588,0.025318723827914183,0.10165126,0.025318721
4,0.02540814199158748,0.10011751,0.025408145,0.025224743877061417,0.09932222,0.025224742
5,0.02533199098983292,0.098050535,0.025331993,0.025208484454889726,0.098412775,0.025208484
6,0.025300459433085943,0.0972954,0.025300458,0.025202751220641476,0.09734484,0.025202751
7,0.02528382982663366,0.09706645,0.02528383,0.025204483910109345,0.09792438,0.025204485
8,0.025260633323382548,0.09693099,0.025260633,0.02517940992040438,0.09782091,0.025179412
9,0.025243090648583426,0.096939966,0.02524309,0.02516226077961806,0.096382424,0.025162261
