epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.29799395633475273,0.38611948,0.15996283,0.1238909554202476,0.31274572,0.10976152
1,0.08587383175298446,0.26427352,0.082257845,0.06304641952697088,0.22566138,0.062633604
2,0.05391912804010608,0.20501375,0.053751834,0.046257292110309225,0.18608071,0.046197854
3,0.0417908655728786,0.17355704,0.041756816,0.03785627262870081,0.16181426,0.03783712
4,0.03538910394035742,0.15350862,0.035375543,0.033182845732423964,0.14565222,0.033173386
5,0.03172662685017687,0.13984467,0.031719502,0.0304163789677576,0.13434501,0.030411204
6,0.029509801132581864,0.13013494,0.029505897,0.028699627290187518,0.12616353,0.0286968
7,0.02811119701940277,0.123019904,0.028109092,0.02759621233000097,0.12009054,0.02759471
8,0.027200678734803488,0.11768915,0.027199568,0.02686796655201055,0.115468055,0.026867192
9,0.0265934147785949,0.11359691,0.026592854,0.026377064811240632,0.11192502,0.026376681
10,0.026180735045778968,0.1104364,0.026180465,0.026040403185252373,0.1091553,0.02604022
11,0.025895744281149657,0.10796205,0.025895618,0.025806839894867064,0.10695044,0.025806759
12,0.02569681465045423,0.10596121,0.025696756,0.025642772752003738,0.1051783,0.025642734
13,0.025556438755213795,0.1043823,0.025556415,0.02552704023020057,0.10375401,0.025527028
14,0.025456912357189884,0.10306665,0.0254569,0.02544456363455098,0.102593824,0.025444558
15,0.025385927762397786,0.1020145,0.025385926,0.025385982769147334,0.10163744,0.02538598
16,0.025335368853676106,0.101138294,0.025335371,0.025344140950935075,0.1008429,0.025344143
17,0.025299228227980572,0.10040937,0.025299227,0.02531431380593528,0.10019009,0.025314312
18,0.02527349215001556,0.09981277,0.025273487,0.02529328494241404,0.099657476,0.025293285
19,0.02525512512408831,0.09932525,0.025255125,0.025278269516469026,0.09919022,0.02527827
