epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.1173775847570334,0.2872236,0.117377564,0.027651952140235216,0.1250807,0.027651954
1,0.025680434497379813,0.104718655,0.02568043,0.024762076467312568,0.09165753,0.024762075
2,0.02441711926844272,0.09475594,0.02441712,0.024943020898517746,0.091856115,0.024943022
3,0.02434605856737611,0.09463711,0.024346057,0.02470797767454426,0.09309574,0.024707977
4,0.02429479759860443,0.09465947,0.024294795,0.024615471579246907,0.09528752,0.02461547
5,0.024260426675446804,0.094655916,0.024260433,0.024975745205903812,0.093544066,0.024975743
6,0.024223553669948984,0.09459598,0.024223555,0.02475948923503702,0.094570294,0.024759488
7,0.02420697359740923,0.09459815,0.024206975,0.02451456728699614,0.0947297,0.024514569
8,0.02418014652620658,0.094551615,0.024180144,0.024353444578927966,0.095350936,0.024353445
9,0.024150965678075644,0.09448141,0.024150964,0.024233028452927893,0.09570277,0.024233028
10,0.024056879839340434,0.09429982,0.024056878,0.02421684165553171,0.09332358,0.024216842
11,0.023865519186863932,0.093873486,0.023865515,0.024270294827105087,0.09437455,0.024270296
12,0.023665315575436226,0.0933294,0.023665315,0.02431546977169573,0.09420436,0.02431547
13,0.023456481019725143,0.09280457,0.023456478,0.02439563198187534,0.09251225,0.02439563
14,0.023279334640866997,0.09237999,0.023279337,0.02452304600801383,0.09423761,0.024523048
15,0.023111277789344783,0.092014916,0.023111276,0.02465899831820358,0.09341668,0.024658998
16,0.02299922407358998,0.091762476,0.022999225,0.025139063398839125,0.09476001,0.025139064
17,0.022896842461637278,0.091531694,0.022896841,0.025498795646171277,0.095689215,0.025498793
18,0.022679206570486127,0.09111205,0.02267921,0.026091674755621633,0.09608979,0.026091676
19,0.022477481630434247,0.09066383,0.022477485,0.025862246636588426,0.09555386,0.02586225
