epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.17296572103882693,0.4031781,0.1729657,0.17161143456545494,0.40207785,0.17161144
1,0.16053559897104575,0.38780534,0.16053559,0.15512136842437224,0.38145134,0.15512137
2,0.10506467949744051,0.30130568,0.10506469,0.08139854771676011,0.2555965,0.08139855
3,0.06824620500734528,0.23433436,0.0682462,0.0716722034841788,0.23628898,0.0716722
4,0.05980609088288575,0.21720311,0.05980609,0.06509165476960643,0.22190946,0.065091655
5,0.0537271969179296,0.20377153,0.053727195,0.06014150354460642,0.2101201,0.06014151
6,0.04902504875883396,0.1925619,0.049025044,0.05626340640884975,0.20010565,0.056263406
7,0.045279202602976736,0.18296956,0.045279205,0.053163408960688684,0.19144994,0.053163406
8,0.042245418152891026,0.17465456,0.042245414,0.05065468433671785,0.18389569,0.05065469
9,0.03976190666260087,0.16738726,0.039761905,0.04860676338888295,0.17726022,0.048606765
10,0.03771222062735387,0.16099763,0.03771222,0.046923745895622655,0.17139824,0.04692374
11,0.036010890266941424,0.15535742,0.03601089,0.045532957513697216,0.16619706,0.045532953
12,0.03458859886507883,0.1503536,0.03458859,0.04437819268485438,0.16156635,0.044378195
13,0.03339334200859712,0.14589645,0.03339334,0.04341540818652197,0.15743333,0.04341541
14,0.03238475240364655,0.14191578,0.032384757,0.042609730501785625,0.15373124,0.04260973
15,0.031532080214195096,0.13835523,0.03153208,0.04193329474400754,0.15040296,0.041933294
16,0.030805623608488594,0.13515306,0.030805625,0.041363728638424246,0.14740555,0.04136373
17,0.030186154070054753,0.13227038,0.03018615,0.04088289565900012,0.1446978,0.040882904
18,0.029655732231934167,0.12966777,0.029655732,0.04047606650067912,0.14224464,0.04047606
19,0.029200357813987495,0.12731229,0.02920036,0.04013117380318821,0.14001788,0.040131178
20,0.028808156348543907,0.12517603,0.028808154,0.03983831101593681,0.13799086,0.039838307
21,0.0284693279332053,0.12323371,0.028469326,0.039589298463625286,0.13614263,0.0395893
22,0.028176658483703286,0.12146702,0.02817666,0.03937733207762883,0.13445571,0.039377335
23,0.027921992758783185,0.11985318,0.027921999,0.039196777464617874,0.13291298,0.039196778
24,0.027700843734982245,0.11837852,0.027700845,0.03904291035501897,0.13149898,0.03904291
25,0.02750875626951999,0.11703056,0.027508758,0.038911767689702094,0.13020103,0.038911764
26,0.02734044408497923,0.11579257,0.027340448,0.0388000119379189,0.12900792,0.038800005
27,0.027193818785914047,0.11465697,0.027193824,0.03870483099106166,0.12791003,0.038704835
28,0.027065461592809367,0.11361233,0.027065467,0.0386238441500869,0.12689775,0.038623843
29,0.026953344198069027,0.112651326,0.02695334,0.038555027452354285,0.12596358,0.038555026
