epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.07063464568878687,0.18108836,0.07063463,0.052501114017515275,0.11968483,0.052501112
1,0.0351651338622408,0.10554496,0.03516513,0.04552584534820812,0.118665405,0.04552585
2,0.032741429945894136,0.10481334,0.032741424,0.045511825849942865,0.118883,0.045511823
3,0.03270970884873907,0.10528457,0.032709707,0.04548369641020646,0.1185809,0.045483705
4,0.03218004635772222,0.10345987,0.03218005,0.03824368252241322,0.11548702,0.03824368
5,0.02730441425819992,0.10028492,0.027304411,0.03820879964110288,0.11708056,0.0382088
6,0.027155925831430002,0.10028289,0.027155934,0.038213130288943215,0.116705775,0.03821313
7,0.027119891024495565,0.10037129,0.0271199,0.038218379820474144,0.11637975,0.038218383
8,0.027095524928565134,0.10041188,0.027095519,0.0382223983846799,0.116180785,0.038222395
9,0.027078930082235903,0.10043476,0.02707893,0.03822537998591378,0.11604986,0.03822538
10,0.02706715766758301,0.10044925,0.027067166,0.03822760757183337,0.1159588,0.03822761
11,0.027058527308694263,0.10045914,0.027058525,0.03822930050811811,0.115892924,0.038229294
12,0.027052037737413256,0.10046616,0.027052037,0.03823060296662449,0.115843825,0.038230605
13,0.027047062933210467,0.10047131,0.027047055,0.038231615434777926,0.11580645,0.03823162
14,0.027043189928910798,0.10047526,0.02704318,0.038232421035477415,0.1157775,0.038232423
15,0.027040137170485635,0.10047825,0.02704014,0.03823305320598561,0.11575473,0.038233053
16,0.027037706719778662,0.10048059,0.02703771,0.03823356860829836,0.11573666,0.03823357
17,0.027035755603296695,0.100482486,0.027035765,0.03823398162864382,0.11572218,0.038233977
18,0.027034178991102335,0.100483894,0.027034188,0.03823431788272267,0.115710504,0.038234312
19,0.027032898319689802,0.10048513,0.027032893,0.03823459384485031,0.115701005,0.038234595
20,0.027031852863347357,0.10048605,0.027031852,0.038234820070748694,0.11569325,0.038234822
21,0.027030996006925493,0.10048681,0.027030999,0.03823500444992549,0.11568689,0.038235005
22,0.027030289681321075,0.10048749,0.027030297,0.03823515789913639,0.1156817,0.038235154
23,0.027029708955064798,0.10048801,0.027029706,0.0382352847094308,0.11567736,0.038235288
24,0.02702922723191901,0.10048839,0.027029235,0.03823538863661907,0.11567381,0.038235392
25,0.027028830201045885,0.10048875,0.027028838,0.038235474007655236,0.115670875,0.03823547
26,0.02702849869400161,0.10048899,0.02702849,0.03823554561880726,0.11566843,0.03823555
27,0.0270282235950924,0.10048926,0.027028222,0.03823560820583589,0.11566636,0.03823561
28,0.0270279950475313,0.100489415,0.027027993,0.03823565832950006,0.115664646,0.038235664
29,0.02702780324040048,0.10048963,0.0270278,0.03823569854503601,0.11566324,0.0382357
