epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.09071554959474669,0.27567407,0.090715535,0.05889515733137697,0.2126006,0.058895152
1,0.039471518272988955,0.16897574,0.03947152,0.043249467088588275,0.15995216,0.043249477
2,0.03020786419311444,0.13379864,0.030207852,0.03953305224937027,0.13806011,0.039533053
3,0.027577493088720526,0.11825174,0.027577488,0.038514882624558884,0.12738045,0.038514875
4,0.026698097662443878,0.11041209,0.026698092,0.03824689289882005,0.12162384,0.038246892
5,0.026382071935149225,0.106124565,0.02638208,0.03820326966704039,0.11835157,0.038203273
6,0.02626793077760731,0.1036798,0.02626792,0.0382208511131888,0.11645424,0.03822085
7,0.02622908779394995,0.10226696,0.026229095,0.03824753917182161,0.11535665,0.038247533
8,0.026218517177886203,0.10145684,0.026218519,0.03826870285193957,0.11473396,0.038268697
9,0.026218220417091778,0.101002134,0.026218219,0.03828237620631174,0.11439142,0.03828238
10,0.026221161774971708,0.10075526,0.026221167,0.038290279194395094,0.11420942,0.03829027
11,0.02622455044311071,0.10062328,0.026224557,0.038294475701170054,0.114116825,0.03829447
12,0.026227977981808787,0.100556,0.026227968,0.03829659584430457,0.11407111,0.038296584
13,0.026230791324582156,0.10052216,0.026230793,0.03829764009509684,0.11404885,0.03829763
14,0.026233074182592516,0.10050457,0.026233083,0.03829812259613027,0.114038594,0.03829812
15,0.02623497187559611,0.100496195,0.026234973,0.03829837355792652,0.11403324,0.038298372
16,0.02623633402509826,0.10049069,0.026236344,0.0382984974743944,0.114030704,0.0382985
17,0.026237146626046606,0.10048742,0.026237154,0.038298560441370075,0.114029355,0.03829856
18,0.026237945251793925,0.100485526,0.026237937,0.03829859884501886,0.11402853,0.038298603
19,0.026238548360274835,0.10048409,0.026238544,0.038298623447314856,0.11402802,0.038298633
20,0.026238992223658938,0.10048331,0.026238983,0.038298635603780364,0.114027746,0.038298625
21,0.026239235813120876,0.10048259,0.026239235,0.03829864104957852,0.11402763,0.038298644
22,0.026239504890920626,0.100482225,0.02623952,0.038298647017706924,0.114027515,0.038298633
23,0.026239594867150252,0.10048176,0.026239596,0.03829864856082768,0.114027455,0.038298637
24,0.026239778582292376,0.10048175,0.026239773,0.038298651982353306,0.11402737,0.038298648
25,0.02623989792780446,0.100481704,0.026239902,0.03829865698789504,0.11402729,0.038298655
26,0.026239894721000225,0.10048137,0.026239898,0.038298656364633726,0.114027314,0.03829865
27,0.026239955765358865,0.10048141,0.026239965,0.03829865824065438,0.11402727,0.038298655
28,0.026240039490828666,0.1004814,0.026240047,0.03829866462887464,0.114027165,0.038298666
29,0.02624002309985722,0.10048119,0.026240041,0.03829866397847097,0.11402714,0.038298666
