epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.604448920026244,0.28548542,0.11582561,0.12242649212435093,0.20484933,0.05534121
1,0.08812451615207331,0.16523911,0.044638924,0.065420639331775,0.13470119,0.039053652
2,0.06307801075901043,0.12195078,0.03132293,0.06134371741322825,0.11537084,0.038245536
3,0.04922635659140074,0.109116755,0.027571714,0.050180009637185656,0.1098987,0.038604587
4,0.03738409672033379,0.10305435,0.026634822,0.044210906913843016,0.10945966,0.038651608
5,0.036158777452984354,0.10212408,0.02653174,0.04468780655533038,0.10964986,0.038630724
6,0.03368594733065952,0.10017774,0.026514713,0.04270417811156354,0.111142956,0.038486928
7,0.028222129974949255,0.09978584,0.02632921,0.039067499783364726,0.11287141,0.038361423
8,0.02678780975017211,0.100539386,0.026327437,0.03865302012425811,0.11335749,0.038333055
9,0.026582614615991547,0.10068618,0.026336975,0.03850905647697394,0.11351726,0.03832434
10,0.026489553426970125,0.100710124,0.026344102,0.03843201881416091,0.113601245,0.038319893
11,0.026439963167681282,0.1007178,0.026350398,0.03838723086799688,0.11365391,0.038317148
12,0.026412696122730412,0.10072314,0.026356157,0.03836021945289328,0.11368562,0.038315516
13,0.02639780987381117,0.100727886,0.026361482,0.038343684537978755,0.113701165,0.03831472
14,0.02639006535784593,0.10073227,0.026366387,0.038333504556240176,0.11370539,0.038314506
15,0.026386528408707286,0.10073627,0.026370922,0.03832721447733773,0.11370287,0.03831463
16,0.02638549467508604,0.10073995,0.02637512,0.038323314286601545,0.113697216,0.03831492
17,0.026385949495536774,0.100743406,0.026379015,0.03832090340632641,0.11369026,0.038315274
18,0.026387275296216227,0.10074654,0.026382621,0.03831943044856716,0.11368299,0.038315646
19,0.02638908948660663,0.10074945,0.02638596,0.03831856518045874,0.11367583,0.038316015
20,0.02639115961694562,0.10075216,0.026389051,0.03831808322815683,0.11366897,0.03831636
21,0.02639333373488381,0.10075466,0.026391918,0.03831785400902981,0.1136625,0.0383167
22,0.026395521257245105,0.10075696,0.026394568,0.0383177897159807,0.11365638,0.038317017
23,0.026397661869295052,0.10075909,0.026397021,0.03831782876703554,0.113650635,0.038317315
24,0.026399720679438705,0.10076102,0.026399303,0.03831793138267825,0.113645345,0.0383176
25,0.026401678036284574,0.10076285,0.026401399,0.03831807242643923,0.113640346,0.03831785
26,0.02640352352391745,0.10076451,0.026403341,0.038318234960774904,0.113635704,0.038318083
27,0.026405250616748224,0.10076605,0.02640513,0.03831840713776398,0.1136314,0.038318306
28,0.026406862394418078,0.10076745,0.02640679,0.03831858350231288,0.11362737,0.038318522
29,0.026408357430416564,0.10076876,0.026408305,0.03831875214545429,0.113623686,0.038318712
