epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.06109015510081971,0.16699053,0.061090138,0.04485081463114655,0.109419435,0.04485082
1,0.029818285421504585,0.09553036,0.029818282,0.03971813654610901,0.10661645,0.03971814
2,0.026575128559735067,0.09930683,0.026575128,0.03836819994174094,0.11278894,0.038368203
3,0.026484904976490954,0.1005232,0.026484905,0.038347167590768186,0.11311328,0.038347162
4,0.026464894065682566,0.1005874,0.026464896,0.03834167066142232,0.11320515,0.038341675
5,0.026454952562533836,0.100605085,0.026454953,0.038339076089519745,0.11324969,0.038339075
6,0.026449176504855496,0.10061364,0.026449176,0.038337571844210334,0.11327591,0.038337573
7,0.026445380445412902,0.10061925,0.026445381,0.03833660842648154,0.1132928,0.03833661
8,0.026442928855617536,0.10062293,0.02644293,0.03833596174261968,0.11330428,0.038335968
9,0.02644114274180137,0.10062595,0.02644115,0.03833548212140534,0.113312766,0.03833548
10,0.026439872302387236,0.10062789,0.026439881,0.03833513910167192,0.113318875,0.03833514
11,0.026438694400951826,0.10062961,0.026438696,0.03833484821360655,0.11332405,0.038334854
12,0.026438011621782904,0.10063106,0.026438013,0.03833464671048414,0.11332769,0.038334657
13,0.026437276947280743,0.10063206,0.026437273,0.0383344617636715,0.113331,0.038334463
14,0.026436781165118103,0.10063266,0.026436782,0.03833431826598703,0.11333355,0.038334318
15,0.02643658662711126,0.100633815,0.026436584,0.038334236248918026,0.11333506,0.03833424
16,0.026436211026184087,0.1006345,0.026436208,0.0383341509585614,0.113336585,0.038334154
17,0.0264360482262618,0.100635014,0.026436053,0.03833407659536179,0.11333785,0.038334075
18,0.02643576646741254,0.10063531,0.026435765,0.03833400146716882,0.11333918,0.038334
19,0.026435609939136295,0.10063599,0.026435608,0.03833395568667819,0.11334009,0.038333952
20,0.02643551493324795,0.10063593,0.02643552,0.03833389180763134,0.11334119,0.03833389
21,0.02643545790597322,0.10063647,0.026435466,0.03833386673816692,0.11334166,0.03833387
22,0.026435400347086718,0.100637205,0.02643541,0.03833390174600301,0.113341056,0.0383339
23,0.026435225821498966,0.100637026,0.02643523,0.038333859600094056,0.11334183,0.038333856
24,0.026435255881128418,0.100637496,0.02643525,0.03833378757252841,0.113343075,0.03833379
25,0.026435007111998945,0.100637145,0.026435012,0.03833368170215557,0.11334499,0.038333684
26,0.026435021495853694,0.10063723,0.02643502,0.03833363422909326,0.113345884,0.038333632
27,0.026434921393690018,0.10063676,0.02643493,0.03833349441588423,0.1133484,0.03833349
28,0.026434673605560392,0.100636944,0.026434667,0.03833344256073024,0.11334934,0.038333442
29,0.026434859868426624,0.10063648,0.026434861,0.03833341688468017,0.11334979,0.038333416
