epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.15688619029039702,0.15688616,0.07716264,0.09933184523781041,0.099331856,0.0437148
1,0.09584369558900915,0.09584371,0.035083704,0.10004233670665483,0.10004232,0.04118092
2,0.09089962305512747,0.09089963,0.031532943,0.10170673425358098,0.101706736,0.040376067
3,0.08903258541291091,0.08903256,0.029765632,0.10223999114562916,0.10223998,0.04076295
4,0.08856712352106348,0.08856713,0.029519403,0.1024629017597283,0.10246292,0.040662423
5,0.08842081325995417,0.08842083,0.029069392,0.10221461675428947,0.10221463,0.040650107
6,0.08743646264435836,0.087436475,0.028490087,0.10130952377573696,0.101309516,0.040940396
7,0.08743564508315715,0.08743562,0.0285911,0.09922165487731566,0.09922166,0.042246837
8,0.08702893206028388,0.087028965,0.028340474,0.10231930924435571,0.10231931,0.040484123
9,0.08686150008909845,0.08686147,0.028318327,0.10160689468958534,0.1016069,0.040556446
10,0.08691270840632341,0.086912714,0.028387379,0.10171524785268794,0.10171525,0.040361278
11,0.0868842177992148,0.08688423,0.028355332,0.1015289173281041,0.101528905,0.040661283
12,0.08660697255753526,0.08660699,0.028164562,0.10235737938843958,0.10235739,0.04041551
13,0.08642090046625041,0.08642089,0.028080378,0.10223736790683259,0.10223737,0.040237065
14,0.0861521261432206,0.08615213,0.027932836,0.10258456468367214,0.10258457,0.04018151
15,0.0860076330778973,0.08600763,0.027841603,0.10305059668492658,0.103050604,0.040259738
16,0.08590761096662544,0.08590763,0.027799902,0.10397638221090436,0.103976384,0.040051766
17,0.08564980979795815,0.08564981,0.02763285,0.10367843113223052,0.103678405,0.039903402
18,0.0854371629363926,0.08543717,0.027512785,0.10301120628545538,0.10301122,0.040396493
19,0.08489258645725678,0.08489259,0.02728918,0.10235315551693337,0.10235317,0.040655315
20,0.0849483442049656,0.08494835,0.02718036,0.10221545062290395,0.102215454,0.040590413
21,0.08429769531339905,0.08429768,0.026955182,0.10175145100807068,0.101751454,0.04069385
22,0.08421436392496763,0.08421436,0.026736217,0.10050688819744864,0.100506894,0.04135884
23,0.08304932496521,0.08304932,0.02644783,0.10399387757036374,0.10399386,0.04085262
24,0.08194118647807346,0.08194118,0.025776587,0.10262502818657367,0.10262503,0.040853195
25,0.08150335602360206,0.08150338,0.025496656,0.10194777865181752,0.10194776,0.041434865
26,0.08117347637011377,0.08117346,0.02519275,0.10211886988278494,0.10211887,0.040902186
27,0.0800319669758125,0.080031976,0.024555424,0.10058777774056077,0.10058776,0.041502915
28,0.07968202220095572,0.07968201,0.024461646,0.10066531786062606,0.10066532,0.04140147
29,0.0792120879695932,0.079212055,0.024047567,0.10044553953319098,0.10044555,0.041501828
