epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.11415613409179261,0.11415617,0.04910746,0.09998615732323951,0.09998614,0.041879114
1,0.0892901179554627,0.0892901,0.029445488,0.10012728176097649,0.10012725,0.041110512
2,0.09062202172975649,0.09062203,0.029440233,0.10683145947180749,0.10683145,0.040449712
3,0.08829927796263472,0.088299304,0.029259477,0.1225520110142709,0.12255204,0.038335513
4,0.08746748461561042,0.0874675,0.028290696,0.8502986448746961,0.8502985,0.7591744
5,0.08699285217989004,0.08699286,0.027855542,0.2802868281051055,0.28028682,0.12334135
6,0.08707126131617246,0.08707128,0.028076945,0.10724566013930377,0.10724567,0.04376771
7,0.08717313363782918,0.08717311,0.028097874,0.11281066712554313,0.11281065,0.050030023
8,0.08663522292682443,0.08663519,0.027731322,0.12040223415568561,0.12040222,0.052690975
9,0.08660683440729457,0.08660688,0.027908718,0.5177492925424293,0.51774925,0.30470985
10,0.08673532644773577,0.08673535,0.028002394,0.13809393044993049,0.13809389,0.040465184
11,0.08653530387727221,0.086535305,0.027881319,0.20416324398859895,0.20416327,0.06385164
12,0.0863634025380086,0.08636342,0.02771512,0.10107551006325845,0.10107549,0.044358723
13,0.08634892002773671,0.0863489,0.027683737,0.11684849936577466,0.11684853,0.04321212
14,0.08657060734326665,0.08657061,0.027941136,0.13923234517374,0.13923237,0.040847722
15,0.08655670445733188,0.08655675,0.027772421,0.3437850745754596,0.34378514,0.14087084
16,0.08659817613832486,0.08659818,0.027687084,0.7939373183540046,0.79393715,0.68667585
17,0.08660364139903111,0.08660366,0.028445143,0.15387590849077723,0.15387593,0.047158483
18,0.08626351417052557,0.08626351,0.027948322,0.6038966314807597,0.6038966,0.3851305
19,0.08684844539955373,0.08684845,0.028085422,0.2674260309470074,0.267426,0.087237686
20,0.08670994609547004,0.08670997,0.028058149,0.12053795063325495,0.12053793,0.03909722
21,0.08658912379110269,0.08658911,0.027977478,0.2944393077599598,0.29443932,0.10094319
22,0.08659294678045937,0.08659296,0.027725479,0.14892647902377823,0.14892648,0.051914148
23,0.08716153692403895,0.08716151,0.028346643,0.2575613561692359,0.25756133,0.08021605
24,0.08663629056869818,0.086636275,0.02802725,0.10719646672600315,0.10719647,0.03923393
25,0.08673550014406167,0.086735524,0.0281135,0.12984521743679203,0.12984523,0.040302545
26,0.0865351725495703,0.086535186,0.027893746,0.18574349976167306,0.1857435,0.051303893
27,0.08630012143456693,0.08630016,0.027789973,0.1117005991090427,0.11170061,0.038809832
28,0.08608885039215822,0.08608887,0.027675452,0.11162618756592325,0.11162621,0.038608577
29,0.0861761077378547,0.08617615,0.027717102,0.27446928354620265,0.27446935,0.12279042
