epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.13179562984614193,0.13179561,0.06436005,0.10358682979935059,0.10358684,0.04710201
1,0.08923969929903587,0.089239694,0.03174947,0.09923641677235576,0.099236414,0.042316597
2,0.08907487394047582,0.089074865,0.029421465,0.10031488291771616,0.1003149,0.040995825
3,0.08877585701194167,0.08877583,0.028655227,0.10352831665281986,0.103528306,0.039568037
4,0.0883721000152053,0.088372104,0.028504796,0.10540194145469506,0.10540194,0.03921816
5,0.08824866786537541,0.08824867,0.028406255,0.10428996170225853,0.10428995,0.03998887
6,0.08824913507472724,0.08824914,0.028373295,0.1043842021876206,0.10438421,0.03947596
7,0.08818505750275922,0.08818507,0.02835619,0.10782116791867358,0.10782118,0.038844813
8,0.08784602331351958,0.08784599,0.028245633,0.10248482590866095,0.102484845,0.039797634
9,0.08796487100911382,0.08796488,0.028291905,0.10076192961285643,0.10076191,0.040371776
10,0.08758849543245611,0.08758853,0.028078888,0.10104884863870738,0.10104885,0.04085748
11,0.08715369414448466,0.08715372,0.028060423,0.10275727863876565,0.1027573,0.04060146
12,0.0871159758228866,0.08711595,0.027957091,0.1000097682882304,0.10000976,0.04119557
13,0.08699066283620502,0.086990684,0.02774038,0.10909041329462298,0.1090904,0.03850915
14,0.08647938648571112,0.086479396,0.02760343,0.10433111564037248,0.10433113,0.037856385
15,0.08651087340782536,0.086510904,0.027565936,0.10752363811577165,0.107523635,0.038081314
16,0.08635019884652545,0.086350225,0.027572917,0.1013670612168422,0.10136705,0.039926074
17,0.08571692733262087,0.08571692,0.02714227,0.1014972585449594,0.10149727,0.0418157
18,0.085481164752641,0.08548116,0.027022075,0.10163497318196012,0.10163497,0.043084256
19,0.0846613525801897,0.08466135,0.02672259,0.11860768740218096,0.118607685,0.04225423
20,0.08386868119253796,0.08386866,0.026142584,0.12105186091919323,0.12105186,0.038787592
21,0.08280379285320866,0.08280378,0.025487736,0.10230137863841983,0.10230139,0.043761868
22,0.08142406359031033,0.08142407,0.024768788,0.1065006814563105,0.10650068,0.039292585
23,0.08125311636516046,0.08125311,0.024744753,0.10115617718754973,0.10115619,0.041675545
24,0.07982236736687766,0.079822354,0.02415385,0.10279844526531978,0.10279845,0.041684017
25,0.07892818280769034,0.0789282,0.023704484,0.10240692928906996,0.102406904,0.04112602
26,0.07919691329861649,0.079196915,0.023839539,0.10365616422941212,0.10365615,0.040885143
27,0.07917763392824982,0.07917762,0.023901613,0.10158823979406319,0.10158824,0.043094262
28,0.07832132493176205,0.07832134,0.023568982,0.10533149745318422,0.105331495,0.042562425
29,0.07978046978888546,0.07978045,0.024149833,0.10380402149562984,0.10380401,0.041361284
