epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.8136702394339057,0.26132143,0.1054332,0.09551019403176926,0.15510228,0.034440327
1,0.0888388796998866,0.13247256,0.036088463,0.07698227586300392,0.11373402,0.026301596
2,0.06878366987162968,0.10791905,0.027927222,0.08656842046560137,0.086268246,0.026237238
3,0.049270199780523966,0.099832,0.02566276,0.03463572726991957,0.08976935,0.02553844
4,0.05795005606509251,0.09861025,0.025807811,0.07031149915466037,0.10385272,0.035947017
5,0.03811327177781599,0.09650466,0.02537295,0.03026811834900354,0.08897319,0.025647582
6,0.029688155146074317,0.09704493,0.025321875,0.02858176134308948,0.09429298,0.025204424
7,0.02787755841953614,0.095969394,0.025284754,0.026500020969094297,0.09788029,0.02516812
8,0.026189889967023778,0.09714379,0.025244493,0.02591159176100515,0.09809151,0.025170466
9,0.02587126727808343,0.09719293,0.025244372,0.02569494315677113,0.097829685,0.025167542
10,0.02569906082348008,0.09719381,0.025244381,0.025555043041308536,0.09766177,0.025166038
11,0.025583058857479888,0.09719398,0.025244387,0.025457633510517965,0.09753652,0.02516511
12,0.025500745610082892,0.09719421,0.025244389,0.025387373953598327,0.09743064,0.02516445
13,0.02544076290246865,0.0971944,0.025244389,0.025335699698958797,0.09734382,0.025163999
14,0.025396311302848668,0.09719464,0.025244389,0.025297203156662337,0.097283944,0.025163738
15,0.025362946890257414,0.09719487,0.025244387,0.025268212369177367,0.09725275,0.025163617
16,0.0253376297986373,0.09719508,0.025244389,0.025246153670234053,0.09724326,0.025163578
17,0.025318225518512816,0.09719535,0.025244392,0.025229200958197365,0.097246446,0.025163595
18,0.025303213306142335,0.097195596,0.025244387,0.02521605039238745,0.097255826,0.025163626
19,0.02529149748139259,0.097195804,0.025244378,0.02520576121332498,0.09726766,0.025163673
